Course ID,Level,Course Name,Credit Hours,Section Letters,CRNs,Days Met,Locations,Professors,Course Description,Full Text
ACCT 2101,Undergraduate,Accounting I: Financial Accounting,3,A;B;C;D;E,80635;85093;82154;80634;92054,MW;MW;TR;TR;TR,Scheller College of Business 221;Scheller College of Business 102;Scheller College of Business 102;Scheller College of Business 201;Scheller College of Business 201,Arnold Schneider (P);Arnold Schneider (P);Katarzyna Rupar (P);Katarzyna Rupar (P);Katarzyna Rupar (P),An introduction to the measurement and financial reporting of organizations and the interpretation of the resulting financial statements. Credit not allowed for MGT 3000 and ACCT 2101.,ACCT 2101 Accounting I: Financial Accounting An introduction to the measurement and financial reporting of organizations and the interpretation of the resulting financial statements. Credit not allowed for MGT 3000 and ACCT 2101.
ACCT 2102,Undergraduate,Accounting II: Managerial Accounting,3,A;B;C,93150;85125;80636,M;TR;MW,Scheller College of Business 103;Scheller College of Business 203;Scheller College of Business 102,Ryan Blunck (P);Ryan Blunck (P);Charles Irons (P),The course deals with determining the costs of products and services and using cost information for planning and decision making. Credit not allowed for MGT 3000 and ACCT 2102.,ACCT 2102 Accounting II: Managerial Accounting The course deals with determining the costs of products and services and using cost information for planning and decision making. Credit not allowed for MGT 3000 and ACCT 2102.
AE 1355,Undergraduate,Aerospace Systems Design Competition I,3,A;A01,88527;81946,T;TR,Guggenheim Aerospace 244;Guggenheim Aerospace 244,Dimitrios Mavris (P);Dimitrios Mavris (P),"Team-oriented aerospace systems design project directed by a faculty advisor.  Typically a national student competition in aircraft, rotorcraft, or spacecraft design. Technical role commensurate with freshman standing.","AE 1355 Aerospace Systems Design Competition I Team-oriented aerospace systems design project directed by a faculty advisor.  Typically a national student competition in aircraft, rotorcraft, or spacecraft design. Technical role commensurate with freshman standing."
AE 1601,Undergraduate,Introduction to Aerospace Engineering,1,A;B;C;D,86704;86705;86706;91960,TR;TR;TR;TR,Instructional Center 215;Skiles 249;Skiles 249;Weber SST III 2,Turab Zaidi (P);Turab Zaidi (P);Mayuresh Patil (P);Mayuresh Patil (P),"Overview of aerospace engineering. Common terminology, introduction to use of engineering models, professional and ethical standards and experience with team-based design of aerospace systems. Students cannot receive credit for both AE 1601 and AE 1350.","AE 1601 Introduction to Aerospace Engineering Overview of aerospace engineering. Common terminology, introduction to use of engineering models, professional and ethical standards and experience with team-based design of aerospace systems. Students cannot receive credit for both AE 1601 and AE 1350."
AE 2010,Undergraduate,Thermodynamics &amp; Fluids Fundamentals,4,A;B;R,85049;85051;85716,WF;TR;,Guggenheim Aerospace 442;Skiles 249;TBA,Pranay Seshadri (P);Wenting Sun (P);Wenting Sun (P),"Thermodynamic and fluid properties. Conservation laws, Isentropic flow, shocks and expansions, introduction to flows with friction and heat transfer. Applications to aerospace devices. Students cannot receive credit for both AE 2010 and AE 3450.","AE 2010 Thermodynamics &amp; Fluids Fundamentals Thermodynamic and fluid properties. Conservation laws, Isentropic flow, shocks and expansions, introduction to flows with friction and heat transfer. Applications to aerospace devices. Students cannot receive credit for both AE 2010 and AE 3450."
AE 2010R,Undergraduate,AE 2010 Recitation,0,A;B;R1,89980;89981;90611,W;R;,Guggenheim Aerospace 442;Guggenheim Aerospace 442;TBA,Pranay Seshadri (P);Wenting Sun (P);Wenting Sun (P),This recitation is an optional session in support of AE 2010. This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions.,AE 2010R AE 2010 Recitation This recitation is an optional session in support of AE 2010. This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions.
AE 2011,Undergraduate,Fluid Fundamentals,2,A;B,87544;87545,WF;TR,Guggenheim Aerospace 442;Skiles 249,Pranay Seshadri (P);Wenting Sun (P),"Flowfield concepts, fluid properties, conservation equations for flows, isentropic flow, shocks and expansions, introduction to flows with friction and heat transfer. Applications to aerospace devices.","AE 2011 Fluid Fundamentals Flowfield concepts, fluid properties, conservation equations for flows, isentropic flow, shocks and expansions, introduction to flows with friction and heat transfer. Applications to aerospace devices."
AE 2011R,Undergraduate,AR 2011 Recitation,0,A;B,88342;88344,W;R,Guggenheim Aerospace 442;Guggenheim Aerospace 442,Pranay Seshadri (P);Wenting Sun (P),This recitation is an optional session in support of AE 2011. This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions.,AE 2011R AR 2011 Recitation This recitation is an optional session in support of AE 2011. This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions.
AE 2220,Undergraduate,Dynamics,3,A;B;R,80005;84600;85071,TR;MWF;,College of Computing 101;Skiles 249;TBA,Mayuresh Patil (P);Chhavi . (P);Chhavi . (P),"Motion of particles and mass center of bodies, kinematics and kinetics of rigid bodies in plane motion, work-energy and impulse-momentum methods, 3-D dynamics of rigid bodies.","AE 2220 Dynamics Motion of particles and mass center of bodies, kinematics and kinetics of rigid bodies in plane motion, work-energy and impulse-momentum methods, 3-D dynamics of rigid bodies."
AE 2220R,Undergraduate,AE 2220 Recitation,0,A;B,89982;89983,T;M,Guggenheim Aerospace 442;Guggenheim Aerospace 442,Mayuresh Patil (P);Chhavi . (P),This recitation is an optional session in support of AE 2220. This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions.,AE 2220R AE 2220 Recitation This recitation is an optional session in support of AE 2220. This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions.
